Date,maxT,minT,prcpt,rDate,year,month,droughtThresh,droughtPeriod,periodCount,drought
12/02/79,-0.3,-2,2.4,1979-02-12,1979,Feb,0,End,,
18/02/79,-0.7,-3.8,0,1979-02-18,1979,Feb,1,Start,4,Not drought
22/02/79,1.8,-1.9,0.3,1979-02-22,1979,Feb,0,End,,
23/02/79,3.6,-0.9,0,1979-02-23,1979,Feb,1,Start,5,Not drought
28/02/79,4.3,-0.4,15.4,1979-02-28,1979,Feb,0,End,,
5/03/79,6.9,1,0,1979-03-05,1979,Mar,1,Start,2,Not drought
7/03/79,4.9,-0.5,12.4,1979-03-07,1979,Mar,0,End,,
8/03/79,4.4,0.1,0,1979-03-08,1979,Mar,1,Start,1,Not drought
9/03/79,7.4,0.9,21.3,1979-03-09,1979,Mar,0,End,,
13/03/79,6.6,1.9,0,1979-03-13,1979,Mar,1,Start,1,Not drought
14/03/79,4.8,0.3,3.6,1979-03-14,1979,Mar,0,End,,
19/03/79,3.5,-1.3,0,1979-03-19,1979,Mar,1,Start,2,Not drought
21/03/79,4.4,-1.5,1.8,1979-03-21,1979,Mar,0,End,,
24/03/79,5,-6,0,1979-03-24,1979,Mar,1,Start,1,Not drought
25/03/79,9,0.1,6.3,1979-03-25,1979,Mar,0,End,,
6/04/79,4.8,-1.5,0,1979-04-06,1979,Apr,1,Start,2,Not drought
8/04/79,6.1,0.3,27.9,1979-04-08,1979,Apr,0,End,,
14/04/79,13.2,5.1,0,1979-04-14,1979,Apr,1,Start,6,Not drought
20/04/79,14.7,4.3,2.8,1979-04-20,1979,Apr,0,End,,
5/05/79,6.6,-1.3,0,1979-05-05,1979,May,1,Start,1,Not drought
